200
0,11,25,4,13,29,10,10,
7,23,28,1,16,21,13,24,
11,23,19,27,25,15,10,28,
11,8,25,27,30,17,1,14,
22,23,20,11,30,13,9,8,
26,0,22,27,18,23,1,24,
3,26,24,9,4,5,6,14,
13,5,18,2,13,13,11,19,
24,16,9,14,28,8,6,8,
21,5,16,3,31,23,0,1,
25,18,28,26,16,10,26,0,
28,6,20,0,5,18,14,29,
21,25,9,12,7,6,9,26,
22,31,31,20,30,13,4,12,
11,7,22,29,13,27,7,16,
3,0,23,19,28,28,3,2,
22,15,1,20,15,26,6,25,
20,18,9,26,21,16,29,26,
31,22,19,19,6,28,29,13,
20,13,17,21,24,25,28,28,
4,12,7,2,9,21,3,30,
12,23,14,31,26,13,14,11,
30,25,2,30,8,19,22,22,
6,14,19,12,26,9,23,15,
14,26,11,28,4,21,22,25,
18,24,20,31,23,5,22,22,
1,22,6,5,17,4,16,1,
9,1,6,22,20,0,26,25,
26,2,14,1,17,0,20,11,
5,16,25,8,3,6,17,12,
19,4,4,31,9,29,16,21,
1,12,5,3,3,13,22,11,
28,8,26,4,24,1,2,13,
8,2,7,12,29,18,20,30,
8,30,1,13,27,26,22,31,
18,13,28,16,11,21,19,12,
13,28,30,26,24,11,3,30,
8,23,9,1,5,10,12,14,
27,21,10,3,6,18,12,16,
17,26,27,25,19,28,22,27,
22,0,24,19,20,13,4,19,
5,8,21,16,23,31,19,4,
20,10,16,11,23,3,29,2,
25,12,28,13,10,28,5,26,
24,3,20,31,11,25,1,16,
7,18,21,12,30,13,3,21,
23,0,15,31,11,14,4,29,
16,1,26,14,8,1,17,4,
14,24,24,12,8,7,11,26,
4,20,22,23,28,23,3,31,
8,17,13,6,2,7,16,3,
2,19,15,27,14,17,0,26,
5,17,14,19,16,31,1,1,
7,16,24,20,28,23,1,14,
0,27,8,17,5,16,31,8,
10,24,2,7,10,31,14,24,
24,5,16,31,26,28,26,24,
0,26,9,13,27,18,20,11,
14,30,2,30,31,30,21,29,
22,14,0,31,29,13,4,13,
10,1,11,15,22,29,9,21,
30,21,28,13,8,30,9,13,
19,29,24,5,9,13,4,9,
13,22,2,13,30,10,28,21,
14,25,1,8,4,22,29,18,
7,19,24,6,29,7,19,2,
15,3,6,29,11,17,15,27,
27,4,10,6,3,24,19,19,
15,26,28,14,23,29,22,21,
6,13,5,19,25,3,4,23,
2,8,7,28,12,19,29,22,
4,0,6,29,23,1,23,2,
8,25,1,17,13,25,3,30,
17,17,23,8,31,11,1,11,
23,8,24,1,26,4,28,27,
17,4,31,4,25,0,5,19,
2,17,26,13,20,10,28,10,
30,13,27,7,19,11,21,16,
18,25,31,2,2,7,30,17,
16,19,25,15,29,28,13,6,
21,4,7,10,27,4,6,5,
17,3,20,4,11,0,15,3,
25,24,13,17,9,16,14,2,
26,18,14,17,27,23,13,11,
13,19,11,28,23,14,9,24,
30,28,26,6,16,28,21,10,
18,3,1,31,9,14,29,4,
17,2,3,6,10,21,26,18,
2,16,26,19,17,25,31,29,
27,20,2,16,13,29,25,19,
12,4,24,5,28,10,23,2,
22,16,7,30,11,26,9,29,
16,26,27,0,24,15,27,16,
9,24,16,1,24,2,4,11,
1,26,24,0,2,4,19,20,
28,1,13,7,28,6,30,8,
25,21,15,1,21,16,26,28,
9,7,11,17,16,5,6,17,
5,19,20,6,22,24,7,13,
12,6,16,9,9,18,31,26,
25,20,13,2,22,24,11,10,
14,11,31,8,19,1,29,13,
20,24,20,20,24,9,0,5,
8,14,24,1,6,22,17,2,
2,26,3,15,19,5,23,0,
26,19,3,6,10,17,4,5,
22,27,29,25,13,19,19,19,
27,13,6,30,1,31,31,12,
14,20,23,21,13,13,14,25,
0,3,21,16,17,5,19,0,
24,10,20,21,15,10,14,29,
0,25,18,16,25,14,4,30,
21,16,16,9,5,19,29,28,
22,10,4,26,24,9,27,21,
30,26,23,21,11,2,13,14,
15,10,24,15,28,7,29,29,
0,19,10,1,21,8,23,4,
4,5,23,29,11,27,28,27,
11,24,7,31,16,18,14,6,
3,20,15,12,14,22,28,26,
21,6,7,6,25,2,4,19,
5,3,10,25,22,1,20,27,
26,14,13,5,14,6,30,19,
5,2,26,2,28,6,1,29,
27,14,1,15,2,13,23,12,
5,18,14,0,21,25,11,13,
